adn1C,19723tmp@mibanco.com.pe,Mibanco$4
adn2C,62863tmp@mibanco.com.pe,Mibanco$4
adn3C,tmpqa16395@mibanco.com.pe,SD1$USRTEMP11
ednC,10900tmp@mibanco.com.pe,Mibanco$4
adnSC,17353tmp@mibanco.com.pe,9[1oBT9D1!				
adn1P,tmpqa13618@mibanco.com.pe,SD1$USRTEMP01
adn2P,tmpqa15949@mibanco.com.pe,SD1$USRTEMP05
adn3P,tmpqa92271@mibanco.com.pe,SD1$USRTEMP09
ednP,tmpqa15305@mibanco.com.pe,SD1$USRTEMP06
adnSP,tmpqa18212@mibanco.com.pe,SD1$USRTEMP02
adn1PL,tmpqa17805@mibanco.com.pe,SD1$USRTEMP04
adn2PL,tmpqa70893@mibanco.com.pe,SD1$USRTEMP08
adn3PL,tmpqa13617@mibanco.com.pe,SD1$USRTEMP10
adnSPL,tmpqa19314@mibanco.com.pe,SD1$USRTEMP03
ednPL,tmpqa77354@mibanco.com.pe,SD1$USRTEMP07
