caseId,userKey,dni,monto
esc002,adn1C,47060532,8500
esc006,adn2C,59852605,3700
esc009,adn3C,57436509,150000
esc010,adn3C,67611340,27000
esc012,adn3C,28154642,150
esc014,adnSC,19625463,90000
esc018,ednC,49735258,11000
esc020,ednC,48824400,150
esc101,adn1P,02448478,150000
esc102,adn1P,46902241,8500
esc103,adn1P,10802159,3500
esc104,adn1P,18192927,100
esc105,adn2P,80490870,150000
esc106,adn2P,02167325,9000
esc107,adn2P,02439126,8000
esc108,adn2P,41153168,200
esc109,adn3P,41790763,150000
esc110,adn3P,42655857,8000
esc111,adn3P,01266716,2200
esc112,adn3P,10018940,150
esc113,adnSP,02425841,150000
esc114,adnSP,09782570,90000
esc115,adnSP,42805110,70000
esc116,adnSP,44818361,120
esc117,ednP,08312730,150000
esc118,ednP,18038036,11000
esc119,ednP,08363010,5000
esc120,ednP,10112299,150
esc201,adn1PL,29229801,150000
esc202,adn1PL,26606858,8500
esc204,adn1PL,02365830,100
esc205,adn2PL,31654478,150000
esc206,adn2PL,09575105,8000
esc208,adn2PL,18128526,200
esc209,adn3PL,08407821,150000
esc210,adn3PL,09125662,9000
esc212,adn3PL,09330265,150
esc213,adnSPL,21846731,150000
esc214,adnSPL,44408577,9000
esc216,adnSPL,44575788,120
esc217,ednPL,44941950,150000
esc218,ednPL,40731055,11000
esc220,ednPL,10072988,150
esc305,adn3PL,48770327,299
esc308,adn1C,18963587,8000
esc311,adnSP,79420226,3000
